Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in),Date
88.7,77.6,70.3,7.0,28.7,0.00,2023-08-07
91.0,77.1,64.6,8.3,28.7,0.00,2023-08-08
89.7,78.3,69.0,6.7,28.8,0.00,2023-08-09
88.8,78.7,71.9,8.3,28.9,0.00,2023-08-10
87.7,77.2,71.8,7.3,28.3,0.00,2023-08-11
90.2,76.7,65.7,12.1,28.8,0.00,2023-08-12
91.6,76.3,61.8,10.6,28.7,0.00,2023-08-13
88.1,78.3,72.6,12.2,28.8,0.00,2023-08-14
87.0,76.2,71.3,6.7,27.7,0.00,2023-08-15
89.7,77.4,67.5,4.5,28.9,0.00,2023-08-16
91.0,76.8,63.6,6.0,28.9,0.00,2023-08-17
91.8,78.3,64.9,5.2,28.9,0.00,2023-08-18
89.6,77.4,67.9,4.0,28.3,0.00,2023-08-19
89.4,78.3,70.1,4.5,28.9,0.00,2023-08-20
90.4,78.5,68.7,5.6,28.9,0.00,2023-08-21
93.2,79.6,64.7,7.0,28.8,0.00,2023-08-22
91.6,78.0,64.9,10.8,28.7,0.00,2023-08-23
88.2,77.3,70.9,9.7,28.7,0.00,2023-08-24
86.2,75.8,72.1,10.1,28.7,0.00,2023-08-25
84.0,75.1,75.3,6.2,28.8,0.00,2023-08-26
87.1,73.2,64.7,6.8,28.8,0.00,2023-08-27
83.8,72.4,69.5,9.3,28.8,0.00,2023-08-28
85.8,71.1,64.0,7.9,28.9,0.00,2023-08-29
88.8,71.2,57.2,5.4,28.9,0.00,2023-08-30
90.3,73.2,58.2,5.2,28.9,0.00,2023-08-31
90.7,73.3,58.2,6.4,28.9,0.00,2023-09-01
91.0,72.8,56.4,5.8,28.9,0.00,2023-09-02
90.3,72.5,56.9,6.3,28.9,0.00,2023-09-03
89.9,73.3,60.0,4.8,28.9,0.00,2023-09-04
87.5,71.6,60.4,7.4,28.9,0.00,2023-09-05
88.4,71.5,57.8,5.9,28.9,0.00,2023-09-06
91.0,74.0,59.2,3.1,28.9,0.00,2023-09-07
89.7,77.0,66.5,7.5,28.9,0.00,2023-09-08
88.0,75.3,67.1,8.3,28.9,0.00,2023-09-09
86.2,76.7,73.9,8.4,28.8,0.00,2023-09-10
86.2,75.1,70.9,7.2,28.9,0.00,2023-09-11
88.0,76.3,68.8,5.9,28.9,0.00,2023-09-12
89.4,77.1,67.7,5.2,28.9,0.00,2023-09-13
86.3,77.9,76.0,5.8,28.3,0.00,2023-09-14
85.3,76.2,75.2,6.8,28.9,0.00,2023-09-15
85.0,75.6,74.3,6.1,28.9,0.00,2023-09-16
81.7,75.0,80.9,8.5,28.9,0.00,2023-09-17
78.8,71.9,78.9,12.0,28.9,0.00,2023-09-18
75.1,73.1,93.6,10.0,29.0,0.00,2023-09-19
83.5,74.5,75.1,3.6,29.0,0.00,2023-09-20
86.5,76.0,71.7,2.8,28.9,0.00,2023-09-21
83.1,75.4,78.2,5.5,28.9,0.00,2023-09-22
77.2,72.1,81.9,8.9,28.4,0.00,2023-09-23
78.8,71.7,78.9,5.4,29.0,0.00,2023-09-24
79.9,71.1,75.5,5.2,29.0,0.00,2023-09-25
82.2,70.3,68.9,3.4,29.0,0.00,2023-09-26
83.4,68.4,62.0,3.5,29.0,0.00,2023-09-27
86.0,72.1,64.0,2.3,29.0,0.00,2023-09-28
84.0,71.1,66.2,4.1,29.0,0.00,2023-09-29
82.3,66.0,59.9,6.3,29.0,0.00,2023-09-30
81.7,61.1,51.9,2.0,29.0,0.00,2023-10-01
82.5,63.7,54.5,2.5,29.0,0.00,2023-10-02
82.3,63.5,54.4,4.3,29.0,0.00,2023-10-03
82.6,62.8,54.4,2.5,29.0,0.00,2023-10-04
83.0,63.2,53.4,2.4,29.0,0.00,2023-10-05
81.8,66.0,60.7,3.0,28.9,0.00,2023-10-06
83.1,68.3,62.0,4.8,29.0,0.00,2023-10-07
84.2,71.1,64.7,2.8,29.0,0.00,2023-10-08
82.3,71.9,72.0,10.4,29.0,0.00,2023-10-09
76.3,62.9,64.4,8.5,29.1,0.00,2023-10-10
78.2,61.7,59.6,4.7,29.1,0.00,2023-10-11
79.8,62.3,56.7,1.5,29.1,0.00,2023-10-12
79.8,64.8,62.5,3.4,29.1,0.00,2023-10-13
74.5,63.6,70.1,12.7,28.6,0.00,2023-10-14
72.9,62.0,71.1,3.5,29.1,0.00,2023-10-15
68.3,63.4,85.4,7.8,29.1,0.00,2023-10-16
66.9,59.7,78.4,10.5,29.3,0.00,2023-10-17
70.3,55.6,62.4,5.9,29.3,0.00,2023-10-18
72.1,57.1,61.1,2.5,29.2,0.00,2023-10-19
73.8,58.4,60.1,1.5,29.2,0.00,2023-10-20
73.5,61.0,65.9,1.2,29.3,0.00,2023-10-21
73.8,65.0,75.1,1.4,29.3,0.00,2023-10-22
73.9,58.8,61.5,5.0,29.2,0.00,2023-10-23
74.7,59.7,61.4,1.5,29.2,0.00,2023-10-24
75.7,59.8,60.1,2.5,29.2,0.00,2023-10-25
75.0,59.8,61.7,1.9,29.2,0.00,2023-10-26
76.1,61.3,62.2,1.6,29.2,0.00,2023-10-27
75.3,63.3,67.3,0.4,29.2,0.00,2023-10-28
74.9,65.6,74.0,0.0,29.2,0.00,2023-10-29
75.1,64.3,71.1,0.8,29.2,0.00,2023-10-30
74.6,65.5,72.2,0.1,29.3,0.00,2023-10-31
75.1,65.3,72.8,1.3,29.3,0.00,2023-11-01
75.7,66.3,73.6,1.3,29.2,0.00,2023-11-02
74.9,63.7,69.6,0.7,29.1,0.00,2023-11-03
74.4,63.1,68.8,1.1,29.2,0.00,2023-11-04
73.2,62.3,69.5,1.6,29.2,0.00,2023-11-05
72.9,60.0,65.7,0.0,29.2,0.00,2023-11-06
72.7,62.1,69.9,0.7,29.2,0.00,2023-11-07
72.3,62.3,71.5,0.3,28.6,0.00,2023-11-08
71.9,61.8,71.1,1.1,29.2,0.00,2023-11-09
63.0,58.3,85.0,10.8,29.3,0.00,2023-11-10
65.7,54.1,67.7,5.3,29.3,0.00,2023-11-11
67.6,55.4,66.8,2.4,29.3,0.00,2023-11-12
68.2,55.6,66.5,0.9,29.3,0.00,2023-11-13
68.4,57.6,69.8,1.9,29.3,0.00,2023-11-14
68.2,55.2,65.9,0.8,29.3,0.00,2023-11-15
67.5,54.8,65.5,0.8,29.3,0.00,2023-11-16
68.5,53.8,62.5,2.3,29.3,0.00,2023-11-17
68.1,53.0,62.2,1.5,29.3,0.00,2023-11-18
67.8,55.0,66.3,1.5,28.7,0.00,2023-11-19
65.9,53.5,66.5,1.9,28.7,0.00,2023-11-20
64.0,49.7,59.9,2.5,28.1,0.00,2023-11-21
65.4,51.6,63.1,2.3,29.2,0.00,2023-11-22
63.0,52.9,69.3,0.7,28.6,0.00,2023-11-23
64.4,53.7,69.8,2.1,29.3,0.00,2023-11-24
63.0,52.2,69.2,1.0,29.3,0.00,2023-11-25
63.1,53.1,70.8,1.3,29.3,0.00,2023-11-26
62.7,54.3,74.4,2.3,29.3,0.00,2023-11-27
64.6,57.0,76.9,1.5,29.2,0.00,2023-11-28
67.0,55.8,69.4,1.2,29.2,0.00,2023-11-29
63.4,56.6,79.6,6.4,28.7,0.00,2023-11-30
62.7,52.0,69.2,3.5,29.3,0.00,2023-12-01
64.2,52.1,66.2,1.2,29.3,0.00,2023-12-02
63.9,53.1,69.1,0.1,29.3,0.00,2023-12-03
63.3,51.7,67.4,1.4,29.3,0.00,2023-12-04
61.8,52.9,74.1,0.8,28.7,0.00,2023-12-05
62.5,47.9,62.5,3.2,29.3,0.00,2023-12-06
62.2,49.1,65.1,2.2,29.2,0.00,2023-12-07
61.9,49.1,66.0,1.0,29.2,0.00,2023-12-08
61.1,50.3,69.5,1.6,28.7,0.00,2023-12-09
59.3,48.0,68.9,2.8,29.2,0.00,2023-12-10
58.7,50.3,74.3,1.1,29.2,0.00,2023-12-11
57.3,50.0,76.8,1.2,29.2,0.00,2023-12-12
58.1,48.6,72.9,0.5,29.3,0.00,2023-12-13
55.8,48.3,77.3,1.9,29.3,0.00,2023-12-14
55.7,46.3,72.5,0.5,29.3,0.00,2023-12-15
56.0,44.4,67.2,2.2,28.7,0.00,2023-12-16
55.0,45.4,72.2,2.7,29.3,0.00,2023-12-17
55.9,45.6,71.9,2.5,28.1,0.00,2023-12-18
56.0,44.6,68.8,2.1,28.1,0.00,2023-12-19
57.1,42.5,62.1,2.1,29.3,0.00,2023-12-20
56.3,43.8,66.9,1.3,25.8,0.00,2023-12-21
54.3,45.0,72.8,2.9,29.3,0.00,2023-12-22
56.5,49.4,77.6,2.3,29.4,0.00,2023-12-23
56.0,49.1,78.4,1.4,29.4,0.00,2023-12-24
55.9,50.9,84.5,0.8,29.3,0.00,2023-12-25
52.0,45.5,78.8,0.2,29.3,0.00,2023-12-26
52.9,50.9,93.4,0.0,29.4,0.00,2023-12-27
51.9,50.0,93.6,2.2,29.3,0.00,2023-12-28
49.0,46.7,91.8,2.3,27.5,0.00,2023-12-29
50.1,46.1,87.1,1.4,29.3,0.00,2023-12-30
49.2,45.0,85.7,0.1,29.3,0.00,2023-12-31
49.5,44.9,84.4,1.0,28.7,0.00,2023-01-01
48.3,44.5,85.8,0.2,29.3,0.00,2023-01-02
46.9,42.4,83.4,0.0,29.3,0.00,2023-01-03
47.0,43.2,86.3,0.2,29.3,0.00,2023-01-04
46.3,42.0,84.6,0.0,29.3,0.00,2023-01-05
46.2,45.1,95.7,0.0,29.4,0.00,2023-01-06
46.2,43.5,90.1,0.2,29.4,0.00,2024-01-07
45.8,41.1,83.8,0.8,29.4,0.00,2024-01-08
45.5,41.8,86.6,0.0,29.4,0.00,2024-01-09
46.1,41.3,83.7,0.6,29.4,0.00,2024-01-10
47.4,43.0,85.3,0.1,29.3,0.00,2024-01-11
47.0,42.9,86.2,0.0,29.3,0.00,2024-01-12
47.9,43.4,84.2,0.3,29.3,0.00,2024-01-13
46.3,42.3,86.6,0.0,29.3,0.00,2024-01-14
46.5,42.2,85.0,0.1,29.3,0.00,2024-01-15
46.2,42.0,85.1,0.4,29.2,0.00,2024-01-16
47.6,44.0,88.1,0.0,29.2,0.00,2024-01-17
48.2,44.2,87.6,0.2,28.7,0.00,2024-01-18
47.4,44.8,91.6,1.7,29.3,0.00,2024-01-19
46.8,42.4,85.2,0.4,29.3,0.00,2024-01-20
45.8,42.4,86.9,1.1,29.3,0.00,2024-01-21
46.7,41.4,81.8,1.5,29.3,0.00,2024-01-22
47.0,40.0,77.8,2.5,29.3,0.00,2024-01-23
45.5,41.6,86.7,0.9,29.3,0.00,2024-01-24
46.2,41.7,84.6,0.1,29.4,0.00,2024-01-25
51.5,41.9,71.6,3.0,29.4,0.00,2024-01-26
57.1,44.9,66.9,3.9,29.3,0.00,2024-01-27
58.3,48.1,70.1,2.9,29.3,0.00,2024-01-28
56.8,48.5,76.1,2.3,29.3,0.00,2024-01-29
56.8,46.1,67.9,4.2,28.7,0.00,2024-01-30
56.8,50.8,80.3,5.8,29.2,0.00,2024-01-31
55.6,48.5,77.9,8.8,29.2,0.00,2024-02-01
55.4,45.7,70.6,6.8,29.4,0.00,2024-02-02
56.0,45.3,67.6,8.4,29.3,0.00,2024-02-03
54.3,49.5,85.2,5.6,29.3,0.00,2024-02-04
54.4,46.9,77.0,1.7,29.3,0.00,2024-02-05
56.2,42.9,63.7,4.3,29.4,0.00,2024-02-06
55.6,42.3,62.9,5.0,29.4,0.00,2024-02-07
58.0,39.9,54.5,9.3,29.3,0.00,2024-02-08
58.9,39.2,51.9,3.7,29.3,0.00,2024-02-09
59.0,46.5,65.5,1.2,29.4,0.00,2024-02-10
60.6,46.3,62.2,1.9,29.4,0.00,2024-02-11
58.1,46.0,66.0,0.6,28.2,0.00,2024-02-12
58.8,51.9,76.3,0.7,29.3,0.00,2024-02-13
62.0,45.4,57.9,3.3,29.3,0.00,2024-02-14
62.3,47.2,60.1,1.9,29.3,0.00,2024-02-15
63.4,48.1,60.7,1.6,29.4,0.00,2024-02-16
63.3,48.1,60.7,1.6,29.2,0.00,2024-02-17
60.6,51.1,71.1,5.5,29.1,0.00,2024-02-18
64.4,54.2,70.2,17.5,29.0,0.00,2024-02-19
62.0,53.4,74.0,6.3,29.1,0.00,2024-02-20
61.7,48.5,65.1,4.1,29.1,0.00,2024-02-21
61.9,46.4,59.8,6.5,29.2,0.00,2024-02-22
61.5,38.2,46.9,6.6,29.2,0.00,2024-02-23
61.7,39.5,47.9,4.0,29.3,0.00,2024-02-24
61.0,42.9,54.0,3.7,29.4,0.00,2024-02-25
59.9,43.1,56.8,5.0,29.3,0.00,2024-02-26
60.5,47.0,63.3,5.2,29.3,0.00,2024-02-27
62.6,44.1,54.2,5.4,29.3,0.00,2024-02-28
64.7,45.6,52.4,5.0,29.2,0.00,2024-02-29
61.4,53.0,73.8,10.4,29.2,0.00,2024-03-01
63.5,56.7,79.2,17.7,29.0,0.00,2024-03-02
58.3,40.9,55.1,8.6,29.1,0.00,2024-03-03
57.9,38.3,50.4,4.8,29.3,0.00,2024-03-04
59.3,40.4,52.9,4.4,29.3,0.00,2024-03-05
61.9,40.7,49.3,4.8,29.2,0.00,2024-03-06
64.4,46.3,53.7,6.1,29.2,0.00,2024-03-07
64.6,46.2,54.9,5.7,29.3,0.00,2024-03-08
65.5,42.6,47.9,6.1,29.2,0.00,2024-03-09
67.7,44.0,44.9,2.7,29.2,0.00,2024-03-10
65.8,53.1,64.7,2.0,29.3,0.00,2024-03-11
67.7,52.7,61.3,4.3,29.2,0.00,2024-03-12
63.9,53.2,68.2,4.9,29.1,0.00,2024-03-13
67.0,50.3,56.9,8.9,29.3,0.00,2024-03-14
64.3,47.8,57.1,9.4,29.2,0.00,2024-03-15
71.4,49.7,48.5,5.0,29.2,0.00,2024-03-16
71.1,48.4,47.7,4.4,29.2,0.00,2024-03-17
72.9,49.4,47.4,4.2,29.2,0.00,2024-03-18
73.3,52.4,50.7,2.6,29.2,0.00,2024-03-19
75.9,50.4,44.8,5.3,29.2,0.00,2024-03-20
73.7,57.6,56.2,8.3,29.1,0.00,2024-03-21
72.1,61.4,70.0,7.6,29.1,0.00,2024-03-22
77.2,58.0,55.1,7.1,29.1,0.00,2024-03-23
74.6,59.5,61.0,7.0,29.1,0.00,2024-03-24
77.2,55.9,51.5,5.8,29.1,0.00,2024-03-25
77.2,59.5,55.0,2.7,29.1,0.00,2024-03-26
75.8,61.6,62.3,10.8,29.2,0.00,2024-03-27
74.9,60.8,62.1,10.0,29.1,0.00,2024-03-28
78.1,60.3,56.6,6.9,29.1,0.00,2024-03-29
73.6,61.8,67.9,13.3,29.1,0.00,2024-03-30
70.3,57.5,66.5,11.4,28.6,0.00,2024-03-31
74.8,52.1,47.5,9.4,29.1,0.00,2024-04-01
77.5,52.2,45.7,6.1,29.0,0.00,2024-04-02
78.2,55.2,47.8,5.2,29.0,0.00,2024-04-03
79.1,53.5,43.3,8.8,29.1,0.00,2024-04-04
80.3,49.1,36.8,9.3,29.0,0.00,2024-04-05
80.0,49.0,36.8,6.2,29.0,0.00,2024-04-06
81.2,50.8,37.4,4.9,29.0,0.00,2024-04-07
81.5,49.9,35.6,3.8,29.1,0.00,2024-04-08
83.1,50.4,34.9,3.3,29.1,0.00,2024-04-09
83.2,59.0,44.9,5.6,29.1,0.00,2024-04-10
80.3,52.6,41.0,13.3,29.1,0.00,2024-04-11
81.1,53.9,41.9,7.1,29.1,0.00,2024-04-12
76.3,58.0,53.6,11.5,29.1,0.00,2024-04-13
73.0,60.5,65.9,10.1,29.2,0.00,2024-04-14
75.4,61.7,64.3,8.4,29.1,0.00,2024-04-15
75.7,58.8,57.3,9.2,28.5,0.00,2024-04-16
80.7,53.4,42.0,6.5,29.0,0.00,2024-04-17
81.9,58.1,45.3,7.8,29.0,0.00,2024-04-18
79.4,61.8,56.0,14.2,28.3,0.00,2024-04-19
79.9,58.9,52.0,8.8,28.9,0.00,2024-04-20
82.9,58.4,45.6,7.4,29.0,0.00,2024-04-21
83.2,58.7,45.7,8.5,29.0,0.00,2024-04-22
76.6,60.8,58.7,9.3,29.0,0.00,2024-04-23
82.8,58.1,46.1,2.9,29.0,0.00,2024-04-24
86.3,57.7,39.5,3.1,29.0,0.00,2024-04-25
84.2,59.9,48.8,10.1,28.9,0.00,2024-04-26
77.8,61.4,60.2,12.9,29.0,0.00,2024-04-27
81.0,58.1,48.3,10.3,29.0,0.00,2024-04-28
73.0,57.4,60.8,18.2,29.0,0.00,2024-04-29
70.7,53.6,59.2,13.0,29.0,0.00,2024-04-30
72.5,50.3,48.9,7.0,28.9,0.00,2024-05-01
79.7,51.5,41.9,5.3,28.9,0.00,2024-05-02
82.8,50.7,35.4,4.0,29.0,0.00,2024-05-03
86.0,54.6,36.7,11.1,29.0,0.00,2024-05-04
87.7,55.5,34.9,7.8,28.9,0.00,2024-05-05
91.3,54.4,31.0,4.8,28.9,0.00,2024-05-06
93.0,55.1,31.1,4.5,28.9,0.00,2024-05-07
92.9,55.4,31.5,3.6,28.9,0.00,2024-05-08
91.6,64.8,42.5,8.2,28.9,0.00,2024-05-09
88.7,65.5,47.6,16.3,29.0,0.00,2024-05-10
85.8,62.7,47.6,8.3,29.0,0.00,2024-05-11
84.7,65.8,54.2,10.5,29.1,0.00,2024-05-12
88.0,54.0,34.4,7.5,29.1,0.00,2024-05-13
90.4,55.7,33.2,8.0,29.0,0.00,2024-05-14
94.8,61.0,33.9,1.7,29.0,0.00,2024-05-15
96.6,61.8,33.3,3.9,29.0,0.00,2024-05-16
97.0,58.8,29.3,4.7,28.9,0.00,2024-05-17
97.2,60.1,30.1,10.9,28.9,0.00,2024-05-18
97.8,60.6,30.4,5.4,28.8,0.00,2024-05-19
98.9,61.5,30.5,4.8,28.8,0.00,2024-05-20
98.6,59.0,28.3,7.3,28.8,0.00,2024-05-21
95.9,59.1,29.1,3.2,28.2,0.00,2024-05-22
96.5,69.2,41.7,5.2,28.8,0.00,2024-05-23
94.9,68.8,43.5,12.7,28.8,0.00,2024-05-24
94.1,61.6,37.2,8.0,28.8,0.00,2024-05-25
98.5,57.9,28.6,5.8,28.1,0.00,2024-05-26
99.3,55.9,26.3,7.5,28.6,0.00,2024-05-27
99.8,51.0,21.9,5.2,28.6,0.00,2024-05-28
100.1,52.7,22.8,5.6,28.6,0.00,2024-05-29
99.5,55.5,24.4,5.6,28.7,0.00,2024-05-30
98.7,55.2,24.7,6.2,28.8,0.00,2024-05-31
98.9,57.9,27.1,5.8,28.8,0.00,2024-06-01
96.5,61.6,32.2,4.5,28.8,0.00,2024-06-02
96.9,59.3,31.4,15.9,28.8,0.00,2024-06-03
94.5,61.6,35.3,6.0,28.8,0.00,2024-06-04
92.2,63.2,39.2,12.6,28.8,0.00,2024-06-05
88.3,62.5,44.4,9.8,28.9,0.00,2024-06-06
90.3,61.4,39.8,8.8,28.9,0.00,2024-06-07
90.9,61.1,37.9,9.6,28.9,0.00,2024-06-08
95.9,57.7,30.2,5.3,28.8,0.00,2024-06-09
97.0,56.9,28.0,5.3,28.2,0.00,2024-06-10
98.1,55.6,25.7,6.5,28.8,0.00,2024-06-11
99.8,59.3,27.5,6.0,28.8,0.00,2024-06-12
98.7,60.0,28.4,9.9,28.8,0.00,2024-06-13
98.8,58.6,28.2,4.8,28.7,0.00,2024-06-14
99.5,62.8,31.3,7.8,28.7,0.00,2024-06-15
100.3,64.6,32.1,9.7,28.7,0.00,2024-06-16
100.3,68.1,36.6,9.1,28.7,0.00,2024-06-17
100.8,67.6,35.2,8.0,28.7,0.00,2024-06-18
99.0,70.7,41.0,11.4,28.6,0.00,2024-06-19
85.2,65.8,53.2,15.4,28.7,0.00,2024-06-20
86.8,67.5,54.4,6.8,28.8,0.00,2024-06-21
92.0,69.9,50.1,5.9,28.8,0.00,2024-06-22
95.9,67.0,40.5,5.5,28.8,0.00,2024-06-23
98.5,68.3,38.1,4.8,28.7,0.00,2024-06-24
97.1,70.7,44.1,8.6,28.7,0.00,2024-06-25
98.0,73.2,45.9,9.6,28.7,0.00,2024-06-26
89.4,74.1,61.2,14.5,28.8,0.00,2024-06-27
91.6,74.8,59.0,10.5,28.8,0.00,2024-06-28
92.1,75.9,61.2,10.1,28.7,0.00,2024-06-29
87.6,75.2,67.5,10.7,28.7,0.00,2024-06-30
88.7,78.4,72.6,8.3,28.6,0.00,2024-07-01
92.4,79.4,66.4,9.2,28.6,0.00,2024-07-02
91.9,78.8,65.9,14.5,28.6,0.00,2024-07-03
85.9,76.8,74.7,13.6,28.8,0.00,2024-07-04
85.8,77.0,75.0,11.8,28.6,0.00,2024-07-05
78.0,73.2,85.9,12.9,28.7,0.00,2024-07-06
85.3,76.7,76.5,8.7,28.7,0.00,2024-07-07
90.3,76.6,65.1,5.0,28.8,0.00,2024-07-08
91.4,77.3,64.5,4.5,28.9,0.00,2024-07-09
88.2,76.7,69.8,8.6,28.9,0.00,2024-07-10
90.7,76.8,65.7,6.7,28.7,0.00,2024-07-11
79.4,74.9,85.5,14.0,28.7,0.00,2024-07-12
85.5,71.7,65.2,5.4,28.7,0.00,2024-07-13
86.3,74.1,67.9,2.2,28.7,0.00,2024-07-14
